assistments_item_id,eedi_question_id,similarity_score,verified,topic,assistments_text,eedi_text
140059,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
647776,67,0.8080469369888306,false,REJECT: different numbers sqrt(9) vs sqrt(10),the square root of 10,What is the square root of nine?
655353,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
635208,275,0.7725088000297546,false,REJECT: subtraction vs division mismatch,0.09/50,\( 50.09-0.1= \)
635208,1085,0.7580516338348389,true,Decimal division,0.09/50,\( 50.09 \div 0.1= \)
318127,17,0.7543097734451294,true,Sum of odd/even numbers proof,The sum of two even numbers is always an even number.,Which of these shows part of the proof that the sum of two odd numbers is even?
640944,765,0.8529731035232544,true,Triangular prism identification,Triangular Prism,Which of the following shapes is a triangular prism?
641172,765,0.8529731035232544,true,Triangular prism identification,Triangular Prism,Which of the following shapes is a triangular prism?
576939,1303,0.8602834939956665,true,Isosceles triangle properties,Isosceles Triangle,An isosceles triangle must have ...
576939,1832,0.8602834939956665,true,Isosceles triangle properties,Isosceles Triangle,An isosceles triangle must have ...
576939,650,0.804817259311676,true,Isosceles triangle description,Isosceles Triangle,Which description describes an isosceles triangle?
140062,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
655343,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
563981,1565,0.7623013257980347,true,Adjacent angles on straight line,Adjacent Angles,Adjacent angles on a straight line sum to...
140071,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
558007,111,0.7578150033950806,true,Quadrilateral regular polygon,Quadrilateral,Which quadrilateral below is a regular polygon?
140070,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
569208,559,0.792385458946228,true,Equilateral shape properties,Equilateral,An equilateral shape must have...
608073,1436,0.760303258895874,true,x-axis equation,x-axis,What is the equation of the \( x \) axis?
608076,72,0.8267847299575806,true,y-axis equation,y-axis,What is the equation of the \( y \) axis?
618270,111,0.7578150033950806,true,Quadrilateral regular polygon,quadrilateral,Which quadrilateral below is a regular polygon?
662438,598,0.765056848526001,true,Decimal to percentage,15.5%,Write \( 0.15 \) as a percentage.
510045,598,0.765056848526001,true,Decimal to percentage,15.5%,Write \( 0.15 \) as a percentage.
624728,765,0.8529731035232544,true,Triangular prism identification,triangular prism,Which of the following shapes is a triangular prism?
58706,1693,0.7796640396118164,true,Simplify fraction 5/15,5/15 = c/7,\( \frac{5}{15}= \)
140074,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
522203,1404,0.7595647573471069,true,Cube number 3^3,2*(3^3),\( 3^{3}=? \)
134706,302,0.7541776895523071,true,Simplify rational expression,(x+5)(x+5),"Write the following as simply as possible:
\(
\frac{(x+3)(x+5)}{(x+3)(x+10)}
\)"
765953,72,0.8267847299575806,true,y-axis equation,Y-Axis,What is the equation of the \( y \) axis?
558099,559,0.7929025292396545,true,Equilateral shape properties,A. Equilateral,An equilateral shape must have...
140060,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
527059,1588,0.7792061567306519,true,Rotational symmetry order,rotational symmetry,Which shape has the lowest order of rotational symmetry?
527059,1226,0.7721434831619263,true,Rotational symmetry order,rotational symmetry,Which shape has the highest order of rotational symmetry?
527059,734,0.7524811029434204,true,Rotational symmetry order 2,rotational symmetry,Which shape has rotational symmetry order \( 2 \) ?
668011,342,0.9226085543632507,true,Obtuse angle identification,Obtuse Angle,Which of the following is an obtuse angle?
